gene_id,gene_name,log2FC_RA_vs_OA,p_value
ADCK5,ADCK5,-0.24286464024765278,0.0322265625
ADCY1,ADCY1,-0.7063898920492843,0.240234375
ADCY10,ADCY10,-0.16899560958350615,0.9658203125
ADCY10P1,ADCY10P1,-0.08658087050494973,0.9658203125
ADCY2,ADCY2,-0.48019796493764916,0.365234375
ADCY3,ADCY3,-0.047358269930105314,0.6376953125
ADCY4,ADCY4,0.03449874116139877,0.8310546875
ADCY5,ADCY5,-0.2863309583083688,0.5771484375
ADCY6,ADCY6,-0.053047149118111175,0.1474609375
ADCY6-DT,ADCY6-DT,0.2696342479231005,0.5771484375
ADCY7,ADCY7,0.10558599125159975,0.4130859375
ADCY8,ADCY8,-2.7169377751548276,0.0068359375
ADCY9,ADCY9,-0.07039823534850805,0.3203125
ADCYAP1R1,ADCYAP1R1,-0.40749617666285887,0.578125
ADD1,ADD1,-0.1648725472973916,0.1015625
ADD2,ADD2,0.3660049364378853,0.0830078125
ADD3,ADD3,0.22798915243172238,0.1015625
ADD3-AS1,ADD3-AS1,0.5538162418266888,0.1015625
ADGB,ADGB,-6.257485271439619,0.625
ADGRA1,ADGRA1,-0.9980784568984132,0.75
ADGRA2,ADGRA2,-0.15120040221256192,0.3203125
ADGRA3,ADGRA3,-0.7536140281052222,0.0009765625
ADGRB1,ADGRB1,0.6307825802236738,0.4130859375
ADGRB2,ADGRB2,-0.6803504814143201,0.0322265625
ADGRB3,ADGRB3,-1.1123727704920825,0.1748046875
ADGRD1,ADGRD1,-0.5755242332416944,0.1748046875
ADGRE1,ADGRE1,0.3268455064056441,1.0
ADGRE2,ADGRE2,-0.3891913461903309,0.556640625
ADGRE5,ADGRE5,-0.05038238544896916,0.7001953125
ADGRF2,ADGRF2,0.938242222764062,0.5
ADGRF3,ADGRF3,0.19660367493339476,0.2783203125
ADGRF4,ADGRF4,0.746728778300059,0.1015625
ADGRF5,ADGRF5,-1.462478633530436,0.123046875
ADGRF5-AS1,ADGRF5-AS1,0.008638116499149728,1.0
ADGRG1,ADGRG1,-0.5135511358324464,0.6376953125
ADGRG2,ADGRG2,0.5270212540981032,0.1474609375
ADGRG4,ADGRG4,-0.5080628837330251,0.7646484375
ADGRG5,ADGRG5,0.0543702731597671,1.0
ADGRG6,ADGRG6,1.3947654407616137,0.009765625
ADGRG7,ADGRG7,0.8753613102504124,0.625
ADGRL1,ADGRL1,-0.4698061900543975,0.0673828125
ADGRL2,ADGRL2,0.4034712867589407,0.009765625
ADGRL3,ADGRL3,0.00348721935529739,0.845703125
ADGRL4,ADGRL4,1.360118025629315,0.0048828125
ADGRV1,ADGRV1,-0.6092677768439387,0.275390625
ADH1A,ADH1A,-0.9963481904142941,1.0
ADH1B,ADH1B,0.47338718366444776,0.6376953125
ADH1C,ADH1C,0.17945554461686816,0.7646484375
ADH4,ADH4,-0.012396664876582671,0.7001953125
ADH5,ADH5,0.0372004913669827,0.5771484375
ADH6,ADH6,2.7731694035283536,0.0390625
