V1,OA6,OA1,OA7,OA2,OA8,OA3,OA4,OA5,OA9,OA10,RA1,RA2,RA7,RA8,RA3,RA9,RA4,RA5,RA10,RA6
ASCL2,5.47210400735523e-05,4.70640440175144e-05,0.000126356289433387,4.38118490304067e-05,4.03359406930954e-05,9.49235501766249e-05,6.07001767253405e-05,7.0818986259123e-05,4.60074361648193e-05,4.29694497033123e-05,4.27142660137011e-05,9.56306946261086e-05,4.38630816590748e-05,3.39420416796362e-05,6.85695635391523e-05,3.8706923106037e-05,4.69713079032088e-05,4.94918801616757e-05,7.18756719346928e-05,5.21698318694977e-05
ATF1,0.000106582704320927,6.94530733001174e-05,0.000151539515133299,0.0001594607333795,0.000114132009800557,0.000152200804891068,0.000121802961633071,0.000154311938324601,0.000158904205273696,0.000123531447253756,0.000147770125012575,0.000189893065880245,0.000151026519757847,0.000119588475750524,0.000198220700136535,0.000130790658211159,0.000160996125695759,0.000111897061709525,0.000216071329363461,0.000130891665293044
ATF2,0.000222586664257119,0.000285422701810332,0.000371461345400606,0.00041208199059944,0.000440618817760699,0.000186714299851229,0.000383845222388608,0.00034955651012429,0.000375943289977331,0.000310335668874173,0.00034612156655699,0.000401756829078201,0.000411793371336113,0.000412949043039714,0.000309692082846749,0.000275338795609386,0.000269093450262633,0.00031852573508719,0.000292906743695644,0.000389596308718247
ATF3,0.000483617276948208,0.000469669563527436,0.000558335366687899,0.000741524559388916,0.000519361603255795,0.000488825342902589,0.000352304929934914,0.000625654384908397,0.000705436535290033,0.000615888060907387,0.00055275971929088,0.000748783431566978,0.000492754961908453,0.000645052341176804,0.000729614428099538,0.000379862450797316,0.000439604559411693,0.000524259466210344,0.00133384969632467,0.000333888602645076
ATF4,0.00172845273093212,0.00175662004409028,0.0015020709654905,0.00122956581029663,0.00142519678623088,0.00248489739402883,0.0012849062948558,0.00186292756606727,0.00117292929389893,0.00218842417906168,0.00163782774805292,0.00190394014024735,0.00123997793936847,0.00190724234868607,0.00175657936692244,0.00145331693852574,0.00177883599207809,0.00207226116347276,0.00243086816136845,0.00219733431081253
ATF5,0.00118074688551932,0.00180924079174578,0.00119546153869349,0.00162411458170072,0.00108367841043611,0.00127522298917443,0.00214961523929555,0.00128353209445268,0.00173491047661581,0.00124065118137695,0.00217464632175575,0.00153645716929194,0.00111535656398234,0.00174688538944609,0.00204720369978935,0.00120680881628998,0.00106459993919405,0.00174972626255121,0.00196025557203075,0.00161108485039697
ATF6,0.000593955121074467,0.000515463460533784,0.000503279658098891,0.000620787552207836,0.000381787484617333,0.000426926208078424,0.000537834254112787,0.000623547918520666,0.000584844683214926,0.000491306415547266,0.000562171496324452,0.000509183477770565,0.000590696359134367,0.000528298989185396,0.00064259530290421,0.000615003125307587,0.000536873258184275,0.000458603242743053,0.000554946000975831,0.000441589979441868
ATF7,7.26216336481068e-05,0.000126934551230494,0.000127188681329584,7.37161385013007e-05,0.000113479098847421,0.000119933312638348,0.000105643074508575,0.000102544687338226,9.95399226009648e-05,0.000126873788005538,0.000113816981610123,9.63962800645799e-05,0.000117578561683916,0.000108469755466649,9.37952869766283e-05,0.000168063024100564,0.000171429149088135,0.000137493797609639,0.000103440352293103,9.43772768514865e-05
ATOH7,7.23153925654448e-05,3.85112001281222e-05,2.64909442428028e-05,9.43757036791139e-05,6.46736453031119e-05,2.50343637870451e-05,2.83961308914456e-05,3.35076704744445e-05,2.13383022849622e-05,5.1339652085746e-05,2.65293988616843e-05,4.45257235236758e-05,2.73175365858237e-05,3.86668821165182e-05,6.84396354692023e-05,2.2358309618026e-05,3.54085387172377e-05,4.41838873292494e-05,2.69920244489084e-05,2.91438846993409e-05
ATOH8,0.0010816171683691,0.000841488862898307,0.000657134756907878,0.00131222282835964,0.00176542182934464,0.00134858757410881,0.000785028249720283,0.00117766771691153,0.00162401320497154,0.00137567149059992,0.000747767612203212,0.000936174294753122,0.000819040969063442,0.000465736089134153,0.000748781085051982,0.000753740102667251,0.000853122387306532,0.00156737284592078,0.00127022846640545,0.000581730478657887
BACH1,0.00291031015580924,0.00286096294062807,0.00312011973678595,0.00249944832005961,0.00293654107180099,0.00275668855216906,0.00198672124663968,0.00335185043225274,0.00217683566601643,0.00318792562188397,0.00228319764811385,0.00261168914201756,0.00206724539038066,0.0023267625778346,0.00308128954523962,0.00220077615588553,0.00347232956542785,0.0022965145259309,0.00199826543420733,0.00190553293437713
BACH2,9.15450274705786e-05,0.000133775102571609,6.30453682446883e-05,0.000128945368361952,0.000112591857110828,7.87182971695843e-05,7.77874256730435e-05,8.50451549001894e-05,5.96961733134568e-05,6.52758389133036e-05,4.49754880035949e-05,5.25090824614899e-05,3.16913464835625e-05,9.05954434966429e-05,6.37275735678682e-05,4.97513426848039e-05,6.23539397090094e-05,7.51384425997008e-05,6.30736945498779e-05,5.24571596375885e-05
BARHL1,2.89425546071527e-05,3.01041077072429e-05,2.39435318797707e-05,2.62271611403512e-05,2.53015497308515e-05,2.74696506691066e-05,2.55916224449003e-05,2.62332122218149e-05,2.25773218077699e-05,2.24148619887995e-05,2.87063054375788e-05,4.53011150554845e-05,2.31567688938239e-05,3.05588423550446e-05,3.251179762475e-05,2.60785462081345e-05,2.98577395363115e-05,3.00149701335951e-05,2.3404049586343e-05,2.37133649231255e-05
BARHL2,0.000154783561924438,0.000157890165218022,0.000115671525051449,0.000142483412573999,0.000100353913419251,0.000111359554922461,0.000105012593078832,7.8655187583699e-05,0.000131605772224061,0.000132873276893054,0.000176481458647659,9.46328219800512e-05,4.69865546289459e-05,0.000165606920963023,8.69790101452842e-05,0.00025596880459177,0.000207981914272261,0.000279430262313545,0.000118583440655646,0.000210988848179314
BARX1,0.00015708388710825,6.59946644868944e-05,0.000259840745476378,0.000450934261887524,0.000562657629321042,0.000726975447817549,0.000591431023434356,0.000612247275988468,0.000271855887779993,0.000261478860186556,0.000744434749954543,0.00189246485087203,0.000330902702985995,0.000694075045636112,0.000399117918332203,0.000486205190020585,0.000664991504840102,0.000489622474388125,0.000758617606349703,0.000695119315244544
BARX2,2.90314404157771e-05,3.60045260550969e-05,4.01409080480171e-05,3.15869065790237e-05,3.01823575816476e-05,2.9196843533415e-05,3.32949429982301e-05,3.1040069006324e-05,3.01223498122446e-05,3.65766124840152e-05,3.6191976499844e-05,4.09338663931693e-05,3.23308591993197e-05,3.37915976240356e-05,5.06595189485e-05,3.44749468397808e-05,2.56783209956036e-05,4.26737725498906e-05,3.62638631756069e-05,3.94279252094506e-05
BATF,0.000117213251269825,5.14516570105164e-05,0.000336002507870009,4.91455105954169e-05,4.93928108503129e-05,6.63379404307578e-05,0.000112131535425937,0.000223695166173948,5.16003465826566e-05,4.81209351367678e-05,0.000161118681384264,5.59280394693873e-05,9.12446264927522e-05,0.000165714348215751,0.000117723088903169,0.000446478237279889,0.000133715304103714,0.000153939202008329,0.000155876292211554,0.000475918614422351
BATF3,2.85634469967027e-05,2.70684714920887e-05,6.12133227064284e-05,2.25056841254904e-05,6.9748407718297e-05,4.91398513843441e-05,2.34209784135191e-05,2.80754427858371e-05,2.19962209560877e-05,2.46573071426533e-05,4.02762592137756e-05,6.65048143470717e-05,3.75705434155679e-05,6.07484288948101e-05,3.96937114069056e-05,4.01445574194404e-05,4.22170519564677e-05,4.08387990120004e-05,4.07878698741975e-05,2.17039491890284e-05
BBX,0.00423741773998195,0.00431167773970321,0.00549435846078879,0.00499156149136983,0.003720841284886,0.00400316332930996,0.00432641928446772,0.00486771452450864,0.00409872905817051,0.00509315649920244,0.00417892698155311,0.00439331840340352,0.00411010781786556,0.00377102991376565,0.00469276689206712,0.00441760035953107,0.00543301485532813,0.00416743189075545,0.00512563067371268,0.00625523502688885
BCL11A,0.000204188806890001,0.000118542844179932,0.00017188648966932,0.000137850484962961,0.000188976499834594,0.000164302058058275,0.000164884264441209,8.48670919072535e-05,0.000104211523573605,0.000110400321898821,0.000114735077278194,0.000164667379941205,0.000134909136638646,0.000109067121632176,0.000131991213642097,0.000181407828117179,0.0002009400511075,0.000156546661615192,0.000163356713830326,0.000136586411925913
BCL6,0.00117909205325421,0.000721142578027925,0.0021393005419758,0.00115969301750244,0.0019651088641379,0.00093290317910912,0.00175624425524221,0.000874751242229697,0.00164041416888455,0.000889161513173819,0.000558233541857235,0.00141745859496825,0.000633999423051744,0.00086597645524477,0.00176161579272704,0.00105792711445379,0.00125178800125678,0.00133625086944442,0.00165431543394805,0.00179586578325902
BCL6B,2.93853604996257e-05,2.38382666962495e-05,2.4987931852064e-05,2.16900924004256e-05,4.60416576603385e-05,2.32038161402707e-05,2.59307340303881e-05,3.43314812147018e-05,2.48481502090943e-05,3.65709506226868e-05,2.36809338280491e-05,2.70653753488172e-05,5.59883236417397e-05,2.66503490716701e-05,3.00215751140015e-05,2.34798162959978e-05,2.17031041242398e-05,2.78597208642794e-05,2.62251645416845e-05,2.26904603735171e-05
BHLHA15,2.06620868650374e-05,2.55337179571983e-05,2.20891324853325e-05,3.08076221124452e-05,2.04091653042476e-05,2.19733757383327e-05,2.13363405855985e-05,2.19369581605102e-05,2.00338483749906e-05,2.14928686222005e-05,3.08382265368707e-05,3.10239214728624e-05,2.01636660387313e-05,2.42898319730069e-05,4.16977824654396e-05,2.40596480026006e-05,2.25224520120872e-05,2.44695035291284e-05,2.65757918894303e-05,2.47578247914262e-05
BHLHE22,2.22115767979576e-05,2.8273015912586e-05,2.35385522551055e-05,2.26461856253751e-05,2.29538106106455e-05,2.67562894557026e-05,2.43374481601346e-05,2.32301280792197e-05,2.04021754922609e-05,2.26542352772764e-05,2.52182086233168e-05,2.6782335238769e-05,2.43188883692621e-05,2.84810757223649e-05,3.08822562041474e-05,2.37970876558134e-05,2.390173980573e-05,2.63051681158817e-05,2.49737667599767e-05,2.69737996425758e-05
BHLHE23,2.06096051699406e-05,2.49835077049001e-05,2.17651461370018e-05,2.13713526734387e-05,2.0537527617358e-05,2.14116003380958e-05,2.18779611668758e-05,2.24347571045243e-05,1.96522249104972e-05,2.10510846762322e-05,2.33919015578276e-05,2.58389521011152e-05,2.1899472039547e-05,2.41006171237888e-05,2.87217261284885e-05,2.27535635173197e-05,2.25940834795128e-05,2.49705956568703e-05,2.35514447426915e-05,2.32440138424477e-05
BHLHE40,0.000277915759778412,0.000322496055962166,0.000241351727394034,0.000239438862289091,0.000272189274931606,0.000487510750451457,0.000187293685747996,0.000239360189827659,0.000192382973738382,0.000190376438103135,0.000225009576817602,0.000229085330850019,0.000286542756920943,0.00033679692609351,0.000201434534785308,0.000295396681682524,0.000163168683417524,0.000162943859596526,0.00022912215785532,0.000154979302067106
BHLHE41,0.000275842513698692,0.000211778089008313,0.000193133511884316,0.000307590000815179,0.000143450198842651,0.000237417852987441,0.000206848306246426,0.000123566965203366,0.000207595395956951,0.000273203132245817,0.000205938161329042,0.000109536520692737,0.000199767937669856,0.000215339955641653,0.00021278809019842,0.000179581697521921,0.000195844991834705,0.000656047674381595,0.000224550281279921,0.000272649799819641
BPTF,0.0026532627770325,0.00288809576783992,0.00328873571874463,0.00282286906078247,0.0024444802960891,0.00228960102368735,0.00199548897310963,0.00294686308294877,0.00339441570673327,0.00296676073116071,0.00268837804883378,0.00254419685896026,0.00203105124914221,0.00238055057213642,0.00231821811306486,0.00277095828657675,0.00226804855547955,0.00302883956508062,0.00436740266803731,0.00288084608629271
BRCA1,0.000575150194503583,0.000883678842879762,0.000851714640143772,0.000449035722001459,0.000820893100679917,0.00112728663795375,0.000989689492239976,0.00143691649366541,0.000777575630176129,0.000909546285997595,0.0011031386855786,0.000888154037155505,0.00164132528440004,0.00144138617793933,0.000608135819404295,0.00101269833749867,0.000726075511231276,0.00188550064099461,0.000636233434398929,0.000896618776384152
BSX,2.89274625814085e-05,3.13081174119416e-05,2.6765428150856e-05,2.52867385220327e-05,2.9816722702402e-05,2.87564373758098e-05,3.41067113983859e-05,2.65943906421155e-05,2.3777989469857e-05,2.33253308587305e-05,3.28505602758879e-05,3.48139435605359e-05,2.58155398969286e-05,2.9838961286772e-05,3.92406040719431e-05,3.16338400032536e-05,2.42580785932404e-05,3.10890002415731e-05,2.65226962337356e-05,2.58200307206186e-05
C11ORF9,3.35933234038641e-05,4.43548706722344e-05,3.28388609338739e-05,3.25840279893231e-05,4.5656039750443e-05,3.1818813942927e-05,2.74002248514499e-05,7.98585480808365e-05,4.11157069331147e-05,7.75405910239131e-05,3.37300316186643e-05,6.07220226791604e-05,5.34499525529582e-05,3.70034186112701e-05,5.25083675915005e-05,3.64699121164827e-05,3.08172096540115e-05,5.17618900064858e-05,3.09430647069561e-05,4.40093396741978e-05
CBFB,0.00125920864763202,0.00108374544490903,0.00101968241382704,0.00122018641217598,0.00159273617696286,0.00111922897669525,0.00203771301261258,0.00150887303678316,0.00155964638740146,0.00160848024650775,0.00181827778084061,0.00149680143535092,0.00172450544139093,0.00118093477592822,0.00117201126024461,0.00139392377476487,0.00106102650721071,0.00243736839403253,0.00182053686759312,0.00137200423372524
CDC5L,0.000808504990132933,0.000900828842132787,0.000858121750493281,0.000840065991833589,0.000946937535576467,0.0008886953568372,0.000723459765209154,0.000845916442941421,0.000674870968378086,0.00116444510981842,0.000593350232109066,0.000682158730723774,0.00099721312718891,0.000621977553830725,0.000801823402261987,0.000869967377368639,0.000815176524362886,0.000796375904224038,0.000728520107079929,0.000820543403063944
CDX1,0.000118717071193138,9.27843386850619e-05,0.000138575309026459,0.000129253234313657,0.000139695343348963,0.000222706206674921,0.000161862152733011,0.000146057632617749,8.97525884730904e-05,0.000101421508430504,0.000111654188338612,0.000129624419456545,0.000108944101075365,6.27758769660104e-05,0.000192365110183577,0.000126375627978781,8.9228817224493e-05,0.000135639242183599,0.000149928210232213,0.000100119096107406
CDX2,6.9984090683478e-05,0.000100439977597637,7.48880375221244e-05,6.70863989157236e-05,7.11549528551715e-05,7.41840480713291e-05,6.24806038712157e-05,7.98331137082223e-05,7.97114611080064e-05,8.40332585523092e-05,6.34211222828092e-05,6.85211926872696e-05,6.61307961656238e-05,7.7146134309192e-05,8.13455030537782e-05,8.21905061099909e-05,5.68821147779064e-05,8.64440402345444e-05,9.8399984889343e-05,7.55905778326808e-05
CDX4,3.64137123478903e-05,5.99270092183097e-05,3.66678423870539e-05,3.84195799460568e-05,3.36747880884762e-05,2.99732945594714e-05,3.09713814624217e-05,3.42522296849705e-05,4.36015624102265e-05,3.06965521832672e-05,3.32713704392932e-05,3.68416664818489e-05,3.36869831119506e-05,3.51243498788488e-05,3.93372901294945e-05,3.42882258072458e-05,3.54423693909658e-05,4.56464827012927e-05,4.47030008961414e-05,3.65675705192701e-05
CEBPA,0.000895258608959145,0.000675961932987662,0.00144665195297665,0.00239639695396954,0.00102401308351625,0.00120966480473645,0.00150404004112653,0.000764937592928375,0.00178535234493373,0.00155470167426341,0.000492421056510222,0.000939700046243266,0.00053191409692339,0.000468592060783611,0.000999657753306362,0.000369373529102142,0.000467758817798513,0.00118213092594923,0.00109993699353776,0.000639994320725951
CEBPB,0.00464037944076359,0.00402089474048039,0.00304580574200499,0.00449797008287084,0.00400816330162408,0.00348336463976105,0.00448666701378017,0.00394138167533963,0.00357247890009381,0.00329144849178118,0.00296272716585561,0.00369879737170549,0.00226431016190198,0.00343530222175191,0.00278060474893508,0.00287903530795291,0.00272304652441176,0.00371062331137768,0.00422410667117739,0.00399596631727457
CEBPD,0.000593642275163514,0.000661942032941617,0.000548972942077645,0.000656387274735321,0.000964441386728324,0.000442387792179116,0.000424220252718266,0.000339882947205558,0.000694013088073263,0.000559449709225081,0.000383813801903688,0.000716100869438504,0.000455485236259163,0.000620624531020682,0.000786515956303718,0.000457685494222631,0.000529925110010532,0.000725463131302763,0.000776732450081202,0.000648465569878937
CEBPE,2.17944156812484e-05,4.2265000470738e-05,6.32798352502759e-05,0.000117136219233869,8.68523201438498e-05,3.14348347915482e-05,5.99199320325767e-05,3.88087035062781e-05,5.47245872555414e-05,6.35486600292237e-05,3.60323748984219e-05,3.26690457473151e-05,4.96464143930982e-05,6.38919130018849e-05,4.20457247551844e-05,2.6771333456836e-05,2.84960005235389e-05,3.64689532414046e-05,8.19857590386429e-05,2.47800826895301e-05
